word,colour,Condition,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Introduction.started,text_3.started,key_resp_2.started,Introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,FixationCross.started,text_2.started,text_2.stopped,FixationCross.stopped,StroopTrial.started,key_resp.started,text.started,StroopTrial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,ThankYou.started,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.010267600184306502,0.019824900198727846,0.9932489001657814,1.1815126000437886,space,-1538694.3713712997,None,,,,,,,,,,,,,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Odmítnutý,"[-1.0, -1.0, 1.0]",negative,m,0,0,0,5,1.1936626001261175,,,,,,,,,1.1868297001346946,4.173907600110397,6.173365300055593,6.162639200221747,6.162648600060493,6.18134930008091,6.674540100153536,7.989307900192216,m,1,-1538692.7471303,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Papír,"[-1.0, -1.0, 1.0]",neutral,m,0,1,1,9,7.99456650018692,,,,,,,,,7.9898140002042055,10.980602000141516,12.979815800208598,12.969096200075,12.969105900032446,12.987373900134116,13.480865000048652,14.198544700164348,m,1,-1538693.3479759,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Úspěch,"[-1.0, -1.0, 1.0]",positive,m,0,2,2,7,14.203274300089106,,,,,,,,,14.198878100141883,17.189737600041553,19.188909700140357,19.178174400003627,19.178185200085863,19.19674600008875,19.69003070006147,20.25490350020118,m,1,-1538693.4960644997,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Pohřeb,"[1.0, -1.0, -1.0]",suicide,c,0,3,3,2,20.259346700040624,,,,,,,,,20.255238100187853,23.24602620000951,25.244896600022912,25.23436230001971,25.234370900085196,25.265471200225875,25.746263900073245,26.3389729000628,m,0,-1538693.4801726,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Izolovaný,"[1.0, -1.0, -1.0]",negative,c,0,4,4,4,26.34370440011844,,,,,,,,,26.339297600090504,29.32992640021257,31.32912960019894,31.319206700194627,31.319216400152072,31.33736790018156,31.83053970010951,32.27014170004986,c,1,-1538693.6238425,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Smrt,"[-1.0, -1.0, 1.0]",suicide,m,0,5,5,1,32.27499600010924,,,,,,,,,32.270483300089836,35.26136150001548,37.26059450022876,37.24982970021665,37.249838600168005,37.268210700014606,37.76173080014996,38.39627770008519,c,0,-1538693.4337916,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Sebevražda,"[1.0, -1.0, -1.0]",suicide,c,0,6,6,0,38.40066740009934,,,,,,,,,38.39661670010537,41.3955473001115,43.39328360022046,43.382468400057405,43.382477700011805,43.39328360022046,43.88746360014193,44.292708000168204,m,0,-1538693.6593642998,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Koberce,"[1.0, -1.0, -1.0]",neutral,c,0,7,7,10,44.29716600012034,,,,,,,,,44.29303920012899,47.2837263001129,49.283094900194556,49.27225450007245,49.272263600025326,49.291076300200075,49.784005500143394,50.34190580016002,c,1,-1538693.5043590998,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Potěšení,"[1.0, -1.0, -1.0]",positive,c,0,8,8,8,50.346646800171584,,,,,,,,,50.3422393000219,53.333069700049236,55.33224920020439,55.32144520012662,55.32145420019515,55.34035440022126,55.83309660013765,56.55801200005226,c,1,-1538693.3365131998,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Motor,"[-1.0, -1.0, 1.0]",neutral,m,0,9,9,11,56.56272330018692,,,,,,,,,56.55834660003893,59.549064100021496,61.54815290006809,61.53769250004552,61.53770130011253,61.556403900031,62.04940990009345,62.78815890010446,m,1,-1538693.3230132998,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Sám/Samotný,"[-1.0, -1.0, 1.0]",negative,m,0,10,10,3,62.792726000072435,,,,,,,,,62.78849360020831,65.77915780013427,67.77840800001286,67.76759340008721,67.76760260015726,67.7863405002281,68.27940380014479,69.2958551000338,m,1,-1538693.0490968998,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
Šťastný,"[1.0, -1.0, -1.0]",positive,c,0,11,11,6,69.30040470021777,,,,,,,,,69.29618750000373,72.28689210000448,74.28599560004659,74.27541070012376,74.27541990019381,74.29440910019912,74.7871681000106,75.56033490016125,c,1,-1538693.2897180999,None,,,trial,001,2024-04-29_11h27.40.820,Stroop Task,2024.1.3,None,2024-04-29 11h27.47.335304 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.56057240022346,75.56502810004167,,,,,,,,
